method,roi,FTC,UMI_density,Median_UMI,Median_genes,Doublet_rate,NED,Debris_rate,QC_yield,N_cells,Silhouette,Immune_survival
nuc,roi1,0.2085,6.8591,113.0,92.0,0.0,0.8404,0.128,729,836,0.0927,0.9062
p3,roi1,0.78,8.0904,350.0,272.0,0.0027,0.7593,0.0107,1206,1219,0.1344,1.0
proseg,roi1,0.9584448966477456,8.281427266968516,389.0,307.0,0.004320060105184,0.7535097599029541,0.0097670924117205,1318,1331,,
sr,roi1,0.9922,8.1569,430.0,322.0,0.0045,0.7505,0.0094,1269,1281,0.0851,0.8571
stardist,roi1,0.3584127664131948,7.35022775742406,125.0,101.0,0.0,0.8177874684333801,0.1391003460207612,1244,1445,,
v12,roi1,0.853,8.1841,465.0,353.5,0.0061,0.7451,0.0039,1028,1032,0.1408,1.0
nuc,roi10,0.2326,6.5944,133.0,91.0,0.0004,0.7803,0.1808,512,625,0.0927,0.8333
p3,roi10,0.6762,6.7309,319.0,207.0,0.0038,0.7021,0.0226,909,930,0.1344,1.0
proseg,roi10,0.9775928297055058,6.940761303537545,375.0,236.5,0.0076581027667984,0.6908959150314331,0.0138339920948616,998,1012,,
sr,roi10,0.8971,6.6385,377.0,237.5,0.0089,0.6842,0.0089,886,894,0.0851,1.0
stardist,roi10,0.3166346564233888,6.238003546391903,104.0,74.0,0.0004566210045662,0.7573437690734863,0.2264840182648402,847,1095,,
v12,roi10,0.7074,6.6039,385.0,246.0,0.0059,0.6864,0.0062,800,805,0.1408,1.0
nuc,roi11,0.1849,8.6067,168.5,118.0,0.0009,0.7816,0.1314,509,586,0.0927,0.9091
p3,roi11,0.7225,9.9815,449.0,311.5,0.0038,0.7069,0.018,1035,1054,0.1344,1.0
proseg,roi11,0.98048,10.66237599685972,526.0,375.0,0.0051457975986277,0.6968666911125183,0.0085763293310463,1156,1166,,
sr,roi11,0.9499,9.9471,669.5,418.5,0.0091,0.6615,0.0117,844,854,0.0851,1.0
stardist,roi11,0.3552533333333333,8.834472206251405,165.0,121.0,0.0008424599831508,0.7980157136917114,0.1524852569502948,1006,1187,,
v12,roi11,0.572,9.6168,535.0,328.0,0.0051,0.6682,0.0072,685,690,0.1408,1.0
nuc,roi12,0.252,11.8215,314.0,284.5,0.0008,0.8554,0.0108,643,650,0.0927,1.0
p3,roi12,0.5863,13.0784,503.5,445.0,0.0016,0.802,0.0076,919,926,0.1344,1.0
proseg,roi12,0.8377340374459914,13.171718820939994,561.0,482.0,0.0064699792960662,0.7732630372047424,0.0072463768115942,959,966,,
sr,roi12,0.7826,13.4937,696.5,590.0,0.005,0.7547,0.0062,795,800,0.0851,
