method,roi,attribution,a1_capture,a1_umi_density,a1_umi_density_corrected,a2_median_umi,a3_median_genes,c1_coexpr,ned,b1_debris_rate,b2_qc_yield,n_cells_raw
v12,roi1,wba,0.9167291421227375,8.642506848765727,8.1875,493.0,375.0,0.02616279069767442,0.7409725189208984,0.003875968992248062,1028,1032
v12,roi2,wba,0.8950455975681297,10.879754772506239,10.25,537.0,390.5,0.012333965844402278,0.6968885660171509,0.003795066413662239,1050,1054
v12,roi3,wba,0.86785409556314,7.137291548646825,6.877976190476191,423.0,241.0,0.010912698412698412,0.653196394443512,0.030753968253968252,977,1008
v12,roi4,wba,0.8760886539732116,16.67782083460303,15.8,1041.0,836.0,0.04654088050314465,0.7182536125183105,0.0012578616352201257,794,795
v12,roi5,wba,0.8754735101104413,15.879022727778668,14.771031746031746,1094.0,855.0,0.025252525252525252,0.6886032223701477,0.0,776,792
v12,roi6,wba,0.9278702518139138,12.98509370374813,12.792857142857144,609.5,527.0,0.007475083056478406,0.7794221639633179,0.0016611295681063123,1202,1204
v12,roi7,wba,0.8577953545368462,18.223090473273576,17.875,721.0,594.0,0.014492753623188406,0.7475566267967224,0.0034100596760443308,1164,1173
v12,roi8,wba,0.776829073056193,8.871792123090833,7.9404158215010145,658.5,544.5,0.02702702702702703,0.7512856125831604,0.003003003003003003,631,666
v12,roi9,wba,0.8229427763852595,13.522032393921684,12.916666666666666,685.0,589.0,0.015259409969481181,0.7882257103919983,0.0,981,983
v12,roi10,wba,0.7901728553137004,7.410723459131254,6.666666666666667,431.0,269.0,0.031055900621118012,0.6797528862953186,0.004968944099378882,801,805
v12,roi11,wba,0.68384,11.465755720969696,9.731691919191919,641.0,403.0,0.021739130434782608,0.655145525932312,0.005797101449275362,686,690
v12,roi12,wba,0.6410625700112018,14.069634393423105,13.461538461538462,613.0,529.0,0.013496932515337423,0.7825244069099426,0.0036809815950920245,812,815
v12,roi13,wba,0.8281691643112368,16.600772906165595,15.25,1300.0,1037.0,0.02748091603053435,0.6987861394882202,0.0,655,655
v12,roi14,wba,0.8048546279007736,12.54911040257658,11.5,852.0,705.5,0.029239766081871343,0.7422584891319275,0.0,684,684
v12,roi15,wba,0.5973836360450856,13.499817218549836,11.128676470588236,690.5,446.5,0.014150943396226415,0.675775945186615,0.0031446540880503146,629,636
p3,roi1,wba,0.8863660704723144,9.236886261245996,8.153846153846153,401.0,306.0,0.016406890894175553,0.750517725944519,0.004922067268252666,1213,1219
p3,roi2,wba,0.8724334702149219,11.239834313638227,10.132352941176471,453.0,333.0,0.0056406124093473006,0.7187580466270447,0.0128928283642224,1225,1241
p3,roi3,wba,0.8273250853242321,8.346552198613612,7.3225,360.5,215.5,0.010344827586206896,0.6625105142593384,0.03706896551724138,1117,1160
p3,roi4,wba,0.8575289807195627,17.21057278200877,15.622282608695652,815.0,671.0,0.03490759753593429,0.7435929775238037,0.001026694045174538,973,974
p3,roi5,wba,0.835031745184869,16.25641862708402,14.708333333333334,837.0,662.0,0.015105740181268883,0.7237026691436768,0.0030211480362537764,967,993
p3,roi6,wba,0.8821489543320529,13.177286409920837,12.726190476190476,521.0,453.0,0.005098324836125273,0.8014906644821167,0.0014566642388929353,1371,1373
p3,roi7,wba,0.8652035871442099,18.667918295585228,17.333333333333332,575.0,489.0,0.00964630225080386,0.7797824740409851,0.008360128617363344,1537,1555
p3,roi8,wba,0.8322749346283153,8.631313205341106,7.7,510.0,431.0,0.02127659574468085,0.7749284505844116,0.010078387458006719,841,893
p3,roi9,wba,0.8283824862673991,13.214680721681304,12.78416149068323,536.5,470.0,0.011400651465798045,0.8099381327629089,0.004071661237785016,1221,1228
p3,roi10,wba,0.7858514724711908,7.880047500187629,6.834635416666666,365.0,240.0,0.023655913978494623,0.691112220287323,0.013978494623655914,917,930
p3,roi11,wba,0.8402133333333334,11.862647048372809,10.280330882352942,540.0,361.5,0.018026565464895637,0.6945909857749939,0.007590132827324478,1046,1054
