cell_x,cell_y,gt_label,pred_label
9459.0,8114.0,epithelial cells,other
7539.0,9169.0,immune cells,immune cells
9121.0,9151.0,immune cells,immune cells
8830.0,6582.0,epithelial cells,stromal cells
7391.0,6673.0,immune cells,stromal cells
8447.0,6699.0,stromal cells,epithelial cells
9206.0,9344.0,immune cells,other
9171.0,9392.0,immune cells,immune cells
7865.0,7356.0,stromal cells,immune cells
7391.0,6673.0,immune cells,stromal cells
8650.0,8923.0,immune cells,other
6939.0,6737.0,stromal cells,stromal cells
8255.0,8627.0,immune cells,immune cells
7848.0,8951.0,stromal cells,immune cells
8369.0,7893.0,immune cells,epithelial cells
6972.0,9281.0,immune cells,immune cells
9354.0,8983.0,immune cells,epithelial cells
9227.0,8304.0,immune cells,immune cells
8342.0,7200.0,immune cells,other
6961.0,7466.0,stromal cells,other
8604.0,9093.0,immune cells,other
7057.0,6631.0,stromal cells,stromal cells
8362.0,8131.0,immune cells,immune cells
9034.0,7833.0,immune cells,epithelial cells
8848.0,8312.0,immune cells,epithelial cells
7350.0,6518.0,immune cells,immune cells
6914.0,9231.0,stromal cells,stromal cells
7712.0,7393.0,stromal cells,other
7489.0,7029.0,stromal cells,immune cells
7348.0,6765.0,stromal cells,stromal cells
7263.0,7028.0,immune cells,stromal cells
9667.0,7962.0,epithelial cells,immune cells
7671.0,6633.0,immune cells,other
8994.0,8860.0,immune cells,other
7976.0,7309.0,stromal cells,other
9048.0,9103.0,immune cells,immune cells
8851.0,9484.0,epithelial cells,other
8801.0,9194.0,epithelial cells,epithelial cells
7750.0,7330.0,stromal cells,immune cells
7117.0,8902.0,epithelial cells,immune cells
7680.0,7502.0,immune cells,other
7547.0,7214.0,stromal cells,stromal cells
7926.0,9058.0,stromal cells,epithelial cells
8879.0,7961.0,immune cells,epithelial cells
9473.0,6746.0,epithelial cells,epithelial cells
8907.0,7713.0,epithelial cells,epithelial cells
7831.0,7299.0,stromal cells,stromal cells
7342.0,6702.0,immune cells,other
8252.0,6709.0,immune cells,stromal cells
9828.0,9212.0,immune cells,epithelial cells
8878.0,7210.0,immune cells,other
8451.0,7384.0,epithelial cells,other
9302.0,8963.0,epithelial cells,epithelial cells
9751.0,9206.0,stromal cells,immune cells
8868.0,7929.0,immune cells,other
8107.0,6688.0,stromal cells,stromal cells
8486.0,6917.0,immune cells,unmatched
7951.0,6948.0,stromal cells,stromal cells
9095.0,9293.0,immune cells,immune cells
9430.0,6763.0,epithelial cells,epithelial cells
9285.0,7170.0,epithelial cells,epithelial cells
7327.0,7885.0,epithelial cells,stromal cells
8991.0,6963.0,immune cells,other
9147.0,9120.0,immune cells,other
9180.0,6971.0,immune cells,other
9134.0,7996.0,immune cells,other
7553.0,8375.0,epithelial cells,other
7348.0,8858.0,stromal cells,other
9038.0,9194.0,immune cells,other
7191.0,6709.0,immune cells,stromal cells
9772.0,9156.0,immune cells,epithelial cells
8288.0,7195.0,immune cells,immune cells
8264.0,7197.0,immune cells,immune cells
9409.0,7311.0,stromal cells,epithelial cells
9224.0,8333.0,immune cells,other
9166.0,8326.0,immune cells,stromal cells
7580.0,7681.0,immune cells,stromal cells
9069.0,9024.0,immune cells,immune cells
8155.0,6535.0,immune cells,stromal cells
7324.0,6575.0,immune cells,immune cells
8149.0,6579.0,stromal cells,stromal cells
9346.0,8356.0,immune cells,immune cells
8386.0,6826.0,epithelial cells,epithelial cells
9810.0,7226.0,immune cells,immune cells
7573.0,9174.0,immune cells,stromal cells
7523.0,9229.0,immune cells,other
8117.0,8948.0,stromal cells,stromal cells
8327.0,7091.0,immune cells,immune cells
7374.0,9383.0,immune cells,immune cells
7094.0,6653.0,stromal cells,stromal cells
7214.0,6860.0,immune cells,immune cells
9187.0,9339.0,immune cells,other
9322.0,9353.0,immune cells,epithelial cells
7676.0,7582.0,epithelial cells,stromal cells
7918.0,9031.0,stromal cells,stromal cells
7360.0,6802.0,immune cells,epithelial cells
8275.0,8622.0,immune cells,epithelial cells
8716.0,9000.0,immune cells,epithelial cells
7771.0,6641.0,immune cells,immune cells
8866.0,7071.0,immune cells,stromal cells
9246.0,8209.0,immune cells,other
8581.0,8780.0,stromal cells,other
7061.0,7815.0,immune cells,stromal cells
7228.0,6904.0,immune cells,immune cells
9258.0,9021.0,immune cells,other
8864.0,7496.0,immune cells,immune cells
8899.0,8579.0,epithelial cells,epithelial cells
9705.0,9214.0,immune cells,other
8728.0,8078.0,immune cells,epithelial cells
8211.0,8725.0,stromal cells,other
8195.0,7206.0,stromal cells,other
9045.0,9167.0,immune cells,immune cells
8237.0,8399.0,immune cells,other
9546.0,9215.0,immune cells,other
9317.0,8350.0,immune cells,other
9763.0,6531.0,stromal cells,other
9106.0,7334.0,immune cells,stromal cells
8406.0,8155.0,immune cells,stromal cells
8945.0,7395.0,immune cells,epithelial cells
9545.0,8921.0,immune cells,epithelial cells
8779.0,7895.0,immune cells,other
9335.0,8484.0,immune cells,immune cells
7199.0,6970.0,immune cells,other
8818.0,8632.0,stromal cells,other
9838.0,7497.0,immune cells,immune cells
7373.0,6657.0,immune cells,other
9019.0,7985.0,immune cells,other
8679.0,9285.0,immune cells,epithelial cells
7569.0,7290.0,stromal cells,stromal cells
8933.0,9113.0,stromal cells,immune cells
7245.0,6943.0,immune cells,other
9369.0,8434.0,immune cells,immune cells
8285.0,6961.0,stromal cells,stromal cells
8882.0,9268.0,immune cells,other
8289.0,7998.0,immune cells,immune cells
7670.0,7768.0,stromal cells,epithelial cells
9847.0,9175.0,immune cells,other
9746.0,7260.0,immune cells,immune cells
8169.0,8374.0,immune cells,other
7554.0,8209.0,stromal cells,stromal cells
9063.0,7386.0,immune cells,other
8939.0,9475.0,immune cells,stromal cells
8516.0,9070.0,immune cells,immune cells
8615.0,8403.0,epithelial cells,other
7398.0,7204.0,immune cells,other
7505.0,7189.0,stromal cells,other
8899.0,8305.0,immune cells,other
8391.0,8215.0,immune cells,immune cells
8757.0,9318.0,stromal cells,epithelial cells
8331.0,6619.0,immune cells,stromal cells
8821.0,7063.0,immune cells,immune cells
8887.0,9286.0,immune cells,other
7535.0,8552.0,epithelial cells,stromal cells
9191.0,7757.0,epithelial cells,other
7724.0,6554.0,immune cells,stromal cells
8667.0,8218.0,immune cells,immune cells
9531.0,7259.0,epithelial cells,epithelial cells
8461.0,6925.0,immune cells,immune cells
7363.0,8849.0,stromal cells,epithelial cells
8729.0,9286.0,immune cells,stromal cells
8133.0,7044.0,epithelial cells,immune cells
7340.0,6672.0,immune cells,other
9150.0,9074.0,immune cells,other
9763.0,7901.0,immune cells,epithelial cells
9317.0,9004.0,immune cells,epithelial cells
7351.0,7183.0,immune cells,epithelial cells
9732.0,9137.0,epithelial cells,immune cells
8901.0,7947.0,immune cells,immune cells
8358.0,8081.0,immune cells,other
7089.0,7874.0,stromal cells,stromal cells
9257.0,9366.0,immune cells,immune cells
9257.0,6879.0,stromal cells,epithelial cells
8978.0,7127.0,immune cells,other
9529.0,8759.0,immune cells,other
8322.0,7291.0,immune cells,other
7416.0,7230.0,immune cells,stromal cells
9728.0,9209.0,stromal cells,other
9538.0,8839.0,immune cells,immune cells
8607.0,8874.0,epithelial cells,immune cells
7463.0,8830.0,stromal cells,immune cells
9231.0,6964.0,epithelial cells,immune cells
7106.0,9098.0,immune cells,immune cells
9057.0,7789.0,immune cells,epithelial cells
8962.0,7064.0,immune cells,immune cells
7744.0,7930.0,stromal cells,epithelial cells
9073.0,9364.0,immune cells,epithelial cells
9357.0,8295.0,immune cells,epithelial cells
8757.0,7928.0,immune cells,other
9167.0,7359.0,immune cells,epithelial cells
8211.0,8533.0,stromal cells,immune cells
8329.0,8743.0,immune cells,stromal cells
8818.0,9060.0,epithelial cells,epithelial cells
7907.0,6588.0,immune cells,stromal cells
8952.0,7960.0,immune cells,immune cells
9430.0,6810.0,immune cells,immune cells
8679.0,7840.0,immune cells,other
9517.0,8416.0,epithelial cells,epithelial cells
8746.0,7264.0,immune cells,immune cells
9337.0,8999.0,immune cells,stromal cells
8475.0,6805.0,epithelial cells,other
7207.0,6941.0,immune cells,immune cells
9196.0,8315.0,immune cells,immune cells
8295.0,8737.0,immune cells,immune cells
9318.0,8378.0,immune cells,immune cells
9478.0,8781.0,immune cells,other
9846.0,8497.0,immune cells,stromal cells
9830.0,9124.0,immune cells,immune cells
8809.0,9269.0,immune cells,immune cells
7084.0,9169.0,immune cells,immune cells
9810.0,7492.0,immune cells,epithelial cells
9073.0,8894.0,immune cells,other
8098.0,9184.0,stromal cells,other
7035.0,7893.0,stromal cells,immune cells
8628.0,8772.0,stromal cells,immune cells
7746.0,6633.0,immune cells,immune cells
8234.0,9037.0,immune cells,other
8816.0,9036.0,epithelial cells,epithelial cells
9858.0,8511.0,immune cells,stromal cells
7472.0,6666.0,immune cells,immune cells
8324.0,8012.0,immune cells,other
8908.0,8963.0,immune cells,stromal cells
9872.0,7358.0,immune cells,other
8444.0,7094.0,stromal cells,epithelial cells
8183.0,8464.0,stromal cells,other
7842.0,7175.0,epithelial cells,stromal cells
9741.0,7909.0,stromal cells,epithelial cells
9674.0,9156.0,epithelial cells,epithelial cells
7524.0,6586.0,immune cells,immune cells
9008.0,9231.0,immune cells,other
9533.0,6808.0,epithelial cells,epithelial cells
8273.0,9079.0,immune cells,other
7487.0,9470.0,immune cells,stromal cells
9627.0,9232.0,immune cells,other
8766.0,6587.0,stromal cells,other
8958.0,8920.0,immune cells,stromal cells
9013.0,8952.0,immune cells,other
8895.0,6881.0,immune cells,immune cells
8461.0,6925.0,immune cells,immune cells
8951.0,7434.0,immune cells,other
7633.0,7232.0,immune cells,immune cells
9546.0,9181.0,immune cells,epithelial cells
8108.0,9134.0,immune cells,stromal cells
6945.0,8866.0,immune cells,stromal cells
7249.0,6686.0,immune cells,immune cells
9091.0,9268.0,immune cells,immune cells
8414.0,8177.0,immune cells,other
8885.0,6971.0,immune cells,immune cells
8854.0,7216.0,immune cells,immune cells
9513.0,8842.0,immune cells,immune cells
7725.0,7580.0,immune cells,stromal cells
9112.0,8940.0,immune cells,immune cells
9314.0,8289.0,immune cells,other
9867.0,9094.0,immune cells,other
7398.0,9314.0,immune cells,other
8987.0,6864.0,immune cells,epithelial cells
9541.0,9240.0,immune cells,stromal cells
7295.0,7660.0,immune cells,stromal cells
9046.0,9384.0,epithelial cells,epithelial cells
9871.0,6521.0,epithelial cells,stromal cells
7484.0,6634.0,immune cells,immune cells
8768.0,6661.0,stromal cells,epithelial cells
7192.0,6866.0,immune cells,other
8818.0,8385.0,immune cells,other
9303.0,8721.0,immune cells,immune cells
8981.0,9352.0,stromal cells,other
8509.0,7194.0,immune cells,other
8125.0,9184.0,stromal cells,epithelial cells
9219.0,9362.0,immune cells,immune cells
8861.0,8481.0,stromal cells,other
9511.0,8770.0,immune cells,other
9067.0,8047.0,epithelial cells,epithelial cells
9210.0,9317.0,immune cells,epithelial cells
8928.0,9010.0,immune cells,other
9423.0,7711.0,immune cells,immune cells
9409.0,8310.0,immune cells,epithelial cells
9109.0,9208.0,immune cells,other
9682.0,8536.0,immune cells,other
9492.0,8776.0,immune cells,epithelial cells
7415.0,7123.0,epithelial cells,stromal cells
9231.0,7374.0,immune cells,other
7984.0,7270.0,epithelial cells,stromal cells
9786.0,8630.0,immune cells,epithelial cells
8345.0,7180.0,immune cells,immune cells
8922.0,9276.0,immune cells,other
8510.0,7293.0,immune cells,immune cells
9698.0,7923.0,immune cells,other
8574.0,9305.0,immune cells,epithelial cells
7537.0,8725.0,stromal cells,stromal cells
9122.0,9365.0,stromal cells,other
7788.0,6630.0,immune cells,immune cells
9204.0,7846.0,epithelial cells,epithelial cells
9026.0,8354.0,stromal cells,other
8658.0,9295.0,immune cells,epithelial cells
8672.0,8676.0,immune cells,stromal cells
9140.0,9471.0,stromal cells,other
8998.0,7992.0,stromal cells,other
7498.0,6518.0,immune cells,immune cells
9054.0,7001.0,immune cells,other
8698.0,9015.0,immune cells,other
9212.0,9145.0,epithelial cells,other
8821.0,7676.0,immune cells,other
9334.0,8329.0,immune cells,other
9849.0,8213.0,epithelial cells,epithelial cells
7466.0,6870.0,immune cells,epithelial cells
7143.0,8118.0,stromal cells,immune cells
8275.0,8622.0,immune cells,epithelial cells
8948.0,6851.0,immune cells,immune cells
8981.0,9207.0,immune cells,other
8408.0,8596.0,stromal cells,stromal cells
9813.0,6553.0,stromal cells,other
7589.0,7636.0,stromal cells,immune cells
9461.0,8924.0,immune cells,epithelial cells
9200.0,9419.0,immune cells,immune cells
7965.0,6602.0,stromal cells,other
8603.0,9346.0,immune cells,other
8757.0,8548.0,immune cells,other
9003.0,9167.0,immune cells,other
8503.0,7069.0,immune cells,epithelial cells
8839.0,7627.0,immune cells,immune cells
8713.0,8851.0,stromal cells,epithelial cells
9634.0,8947.0,epithelial cells,immune cells
9637.0,9196.0,immune cells,immune cells
8856.0,9465.0,epithelial cells,other
8631.0,9334.0,immune cells,other
8901.0,9085.0,epithelial cells,other
9361.0,9038.0,epithelial cells,epithelial cells
7505.0,7189.0,stromal cells,other
8085.0,7956.0,stromal cells,other
8874.0,7815.0,immune cells,epithelial cells
9213.0,8837.0,epithelial cells,other
9829.0,7241.0,immune cells,other
9331.0,7359.0,epithelial cells,epithelial cells
8708.0,7989.0,immune cells,other
9343.0,8270.0,immune cells,other
7970.0,6757.0,stromal cells,other
9197.0,8739.0,immune cells,immune cells
8797.0,6567.0,epithelial cells,other
7803.0,6649.0,immune cells,stromal cells
9492.0,8871.0,immune cells,stromal cells
8793.0,7880.0,immune cells,immune cells
7983.0,6787.0,stromal cells,stromal cells
9733.0,6602.0,immune cells,immune cells
8686.0,8301.0,stromal cells,immune cells
7980.0,7107.0,stromal cells,other
7702.0,8481.0,epithelial cells,immune cells
8972.0,7003.0,immune cells,immune cells
9268.0,8648.0,epithelial cells,epithelial cells
7574.0,9115.0,immune cells,immune cells
8853.0,7553.0,immune cells,other
9848.0,7461.0,immune cells,other
7208.0,6910.0,immune cells,stromal cells
8369.0,8030.0,immune cells,other
8652.0,8903.0,immune cells,epithelial cells
8812.0,6859.0,immune cells,other
8526.0,9506.0,immune cells,stromal cells
9280.0,8688.0,immune cells,immune cells
9005.0,7281.0,immune cells,epithelial cells
8199.0,9354.0,stromal cells,epithelial cells
7756.0,6668.0,immune cells,stromal cells
7933.0,6759.0,immune cells,stromal cells
9350.0,7114.0,epithelial cells,epithelial cells
8730.0,7242.0,immune cells,other
8664.0,9318.0,immune cells,stromal cells
8915.0,7779.0,immune cells,epithelial cells
9180.0,8935.0,epithelial cells,immune cells
8730.0,7242.0,immune cells,other
7783.0,9078.0,immune cells,epithelial cells
7184.0,6843.0,immune cells,immune cells
8669.0,8061.0,immune cells,immune cells
8086.0,7323.0,stromal cells,stromal cells
8403.0,6713.0,epithelial cells,stromal cells
8926.0,7416.0,immune cells,other
8225.0,8383.0,immune cells,other
6980.0,7242.0,stromal cells,stromal cells
8817.0,7948.0,immune cells,other
8775.0,6796.0,stromal cells,immune cells
7842.0,6943.0,stromal cells,immune cells
9342.0,8376.0,immune cells,immune cells
8900.0,7833.0,immune cells,immune cells
7273.0,6660.0,immune cells,other
9416.0,8490.0,immune cells,stromal cells
8920.0,8376.0,immune cells,immune cells
7143.0,8945.0,immune cells,stromal cells
8937.0,7369.0,immune cells,immune cells
9679.0,7933.0,immune cells,epithelial cells
9812.0,7198.0,immune cells,immune cells
8534.0,7187.0,stromal cells,other
8804.0,7525.0,immune cells,stromal cells
9539.0,7770.0,epithelial cells,other
9167.0,9437.0,immune cells,other
9099.0,7050.0,epithelial cells,other
6890.0,7105.0,stromal cells,other
8876.0,7751.0,immune cells,stromal cells
9816.0,8597.0,immune cells,stromal cells
9606.0,7910.0,immune cells,epithelial cells
7001.0,6943.0,stromal cells,stromal cells
8095.0,8865.0,stromal cells,immune cells
9421.0,6829.0,immune cells,other
8277.0,8013.0,epithelial cells,immune cells
8547.0,6736.0,immune cells,stromal cells
8485.0,9484.0,immune cells,other
8972.0,9040.0,immune cells,other
9526.0,9196.0,immune cells,other
8875.0,7723.0,immune cells,epithelial cells
8854.0,7323.0,immune cells,other
8869.0,8967.0,immune cells,other
8153.0,8835.0,stromal cells,other
9248.0,8742.0,immune cells,immune cells
9047.0,7338.0,immune cells,other
8523.0,9121.0,immune cells,epithelial cells
9062.0,9161.0,immune cells,immune cells
9622.0,7933.0,immune cells,other
9183.0,7419.0,epithelial cells,epithelial cells
8216.0,9089.0,immune cells,immune cells
7386.0,9012.0,epithelial cells,stromal cells
9268.0,8648.0,immune cells,epithelial cells
9438.0,8457.0,immune cells,other
8475.0,6774.0,epithelial cells,other
9106.0,8919.0,immune cells,immune cells
7531.0,8919.0,epithelial cells,immune cells
8584.0,9321.0,immune cells,epithelial cells
8346.0,8512.0,epithelial cells,immune cells
9442.0,8412.0,immune cells,epithelial cells
7220.0,7032.0,immune cells,other
8212.0,7196.0,immune cells,epithelial cells
9529.0,9364.0,immune cells,immune cells
9511.0,8770.0,immune cells,other
8069.0,7179.0,immune cells,stromal cells
7238.0,8723.0,stromal cells,immune cells
7571.0,7792.0,stromal cells,immune cells
8122.0,9039.0,immune cells,other
9708.0,9189.0,immune cells,other
7530.0,6757.0,immune cells,immune cells
8354.0,8186.0,immune cells,stromal cells
9028.0,6992.0,immune cells,immune cells
8858.0,7952.0,immune cells,immune cells
9567.0,8269.0,stromal cells,epithelial cells
8628.0,8772.0,immune cells,immune cells
8858.0,7706.0,immune cells,epithelial cells
8539.0,9450.0,immune cells,epithelial cells
9020.0,7292.0,immune cells,immune cells
9019.0,7899.0,immune cells,immune cells
7364.0,7609.0,epithelial cells,other
9566.0,7667.0,immune cells,other
9624.0,8525.0,stromal cells,immune cells
8900.0,7335.0,immune cells,other
7917.0,7102.0,stromal cells,stromal cells
7320.0,6739.0,immune cells,other
7987.0,7367.0,immune cells,epithelial cells
8536.0,8055.0,stromal cells,epithelial cells
8069.0,8876.0,immune cells,other
8567.0,8582.0,stromal cells,other
7070.0,6576.0,epithelial cells,stromal cells
8554.0,8156.0,stromal cells,epithelial cells
7549.0,7175.0,stromal cells,immune cells
8325.0,9388.0,stromal cells,stromal cells
7781.0,7231.0,stromal cells,stromal cells
7418.0,9148.0,immune cells,immune cells
8771.0,8135.0,epithelial cells,epithelial cells
7483.0,8339.0,stromal cells,other
8974.0,9009.0,immune cells,other
7472.0,9158.0,immune cells,immune cells
8776.0,8307.0,epithelial cells,epithelial cells
7679.0,6533.0,immune cells,immune cells
7190.0,6524.0,epithelial cells,other
8650.0,8749.0,immune cells,stromal cells
9305.0,7012.0,epithelial cells,epithelial cells
8540.0,7006.0,stromal cells,other
9257.0,8705.0,immune cells,other
9227.0,6851.0,epithelial cells,epithelial cells
8362.0,6592.0,immune cells,epithelial cells
7397.0,8948.0,stromal cells,other
6899.0,8452.0,stromal cells,other
8827.0,7787.0,immune cells,immune cells
9040.0,9083.0,immune cells,other
7052.0,9062.0,immune cells,stromal cells
7334.0,9468.0,stromal cells,stromal cells
9240.0,8653.0,epithelial cells,epithelial cells
7329.0,6916.0,stromal cells,other
9671.0,8497.0,epithelial cells,epithelial cells
8993.0,6534.0,epithelial cells,epithelial cells
9614.0,9212.0,immune cells,other
8988.0,9246.0,immune cells,immune cells
6984.0,6663.0,stromal cells,stromal cells
8313.0,8751.0,immune cells,epithelial cells
7068.0,6852.0,epithelial cells,stromal cells
9353.0,9353.0,immune cells,other
7722.0,7695.0,immune cells,other
8766.0,7914.0,immune cells,other
9024.0,7957.0,immune cells,epithelial cells
8529.0,9053.0,immune cells,immune cells
7401.0,6761.0,stromal cells,other
8534.0,7270.0,immune cells,immune cells
9287.0,8346.0,immune cells,other
8766.0,8196.0,epithelial cells,epithelial cells
7856.0,6613.0,immune cells,stromal cells
8795.0,7844.0,immune cells,immune cells
9707.0,8547.0,immune cells,stromal cells
7479.0,6687.0,immune cells,other
8957.0,9076.0,immune cells,other
7386.0,9431.0,immune cells,stromal cells
9853.0,7251.0,immune cells,other
7099.0,9485.0,stromal cells,stromal cells
8978.0,7224.0,immune cells,immune cells
8275.0,8622.0,immune cells,epithelial cells
8712.0,7358.0,immune cells,stromal cells
7720.0,8863.0,stromal cells,immune cells
6948.0,8241.0,immune cells,stromal cells
8683.0,7685.0,epithelial cells,stromal cells
8316.0,6766.0,stromal cells,other
7464.0,6837.0,immune cells,immune cells
9493.0,7721.0,immune cells,other
9253.0,9086.0,immune cells,immune cells
9012.0,8925.0,immune cells,epithelial cells
7412.0,7196.0,immune cells,other
9439.0,8230.0,epithelial cells,epithelial cells
8703.0,8788.0,immune cells,other
8803.0,8003.0,immune cells,immune cells
8277.0,6560.0,immune cells,other
8415.0,8040.0,stromal cells,other
7436.0,9436.0,immune cells,immune cells
8211.0,8907.0,immune cells,immune cells
9096.0,8350.0,stromal cells,epithelial cells
7464.0,6837.0,immune cells,immune cells
8346.0,8122.0,immune cells,immune cells
9099.0,7657.0,epithelial cells,other
9759.0,7609.0,epithelial cells,epithelial cells
8532.0,6625.0,immune cells,other
8860.0,7803.0,immune cells,epithelial cells
9080.0,9312.0,immune cells,immune cells
8856.0,9308.0,immune cells,epithelial cells
7418.0,6717.0,epithelial cells,stromal cells
7361.0,6730.0,stromal cells,stromal cells
8606.0,8162.0,stromal cells,stromal cells
9354.0,9058.0,stromal cells,epithelial cells
9710.0,6612.0,stromal cells,other
9278.0,9019.0,immune cells,other
8897.0,7927.0,immune cells,other
8362.0,7979.0,immune cells,stromal cells
6896.0,7181.0,epithelial cells,stromal cells
9318.0,8503.0,immune cells,epithelial cells
8720.0,7696.0,immune cells,epithelial cells
7633.0,7053.0,stromal cells,other
8706.0,9291.0,immune cells,stromal cells
8270.0,8905.0,immune cells,immune cells
6971.0,7915.0,epithelial cells,stromal cells
8392.0,8008.0,immune cells,other
7987.0,7367.0,stromal cells,epithelial cells
8958.0,9325.0,immune cells,other
8188.0,9417.0,immune cells,other
7656.0,6566.0,immune cells,stromal cells
8721.0,8978.0,immune cells,epithelial cells
7866.0,6940.0,stromal cells,immune cells
8778.0,8589.0,immune cells,other
9356.0,8394.0,immune cells,immune cells
9450.0,6807.0,immune cells,immune cells
9509.0,7052.0,epithelial cells,epithelial cells
9287.0,8422.0,immune cells,other
7782.0,6942.0,stromal cells,epithelial cells
9099.0,9095.0,immune cells,stromal cells
8192.0,8759.0,epithelial cells,immune cells
7220.0,6670.0,immune cells,stromal cells
8175.0,7171.0,stromal cells,other
7446.0,9410.0,immune cells,immune cells
8652.0,8340.0,stromal cells,immune cells
7292.0,6705.0,immune cells,other
8269.0,8934.0,immune cells,stromal cells
7679.0,7147.0,stromal cells,stromal cells
9158.0,7253.0,epithelial cells,immune cells
7907.0,6588.0,immune cells,stromal cells
9701.0,7844.0,epithelial cells,epithelial cells
8671.0,8408.0,stromal cells,immune cells
9142.0,7770.0,immune cells,other
9496.0,6966.0,epithelial cells,other
8983.0,7074.0,immune cells,other
9014.0,7824.0,immune cells,other
8448.0,8198.0,stromal cells,other
9266.0,8668.0,immune cells,immune cells
9847.0,7387.0,immune cells,other
9324.0,8306.0,immune cells,other
9823.0,8242.0,immune cells,immune cells
8812.0,6581.0,immune cells,other
8887.0,7495.0,immune cells,immune cells
7934.0,7212.0,epithelial cells,stromal cells
7165.0,8016.0,stromal cells,epithelial cells
9168.0,8219.0,epithelial cells,epithelial cells
6890.0,7227.0,immune cells,other
7928.0,9477.0,epithelial cells,other
8803.0,7004.0,immune cells,immune cells
8760.0,7731.0,immune cells,immune cells
7491.0,9176.0,immune cells,other
8916.0,7044.0,immune cells,other
8380.0,8050.0,immune cells,stromal cells
8756.0,7060.0,stromal cells,other
8208.0,9132.0,immune cells,other
8906.0,6990.0,immune cells,other
8259.0,6844.0,immune cells,stromal cells
8327.0,8311.0,epithelial cells,stromal cells
9599.0,7927.0,immune cells,immune cells
7402.0,8462.0,stromal cells,stromal cells
9579.0,8702.0,immune cells,epithelial cells
9148.0,9165.0,stromal cells,epithelial cells
9359.0,6904.0,epithelial cells,epithelial cells
8508.0,7165.0,epithelial cells,other
8792.0,7578.0,immune cells,other
8510.0,9448.0,immune cells,immune cells
9433.0,9116.0,epithelial cells,other
9231.0,9059.0,immune cells,immune cells
7952.0,8848.0,stromal cells,unmatched
8705.0,8958.0,immune cells,epithelial cells
9120.0,7946.0,immune cells,stromal cells
8876.0,6627.0,stromal cells,other
7386.0,6896.0,immune cells,epithelial cells
8294.0,8420.0,immune cells,stromal cells
8966.0,8948.0,immune cells,stromal cells
8478.0,7077.0,epithelial cells,epithelial cells
9687.0,8997.0,epithelial cells,epithelial cells
7761.0,7363.0,immune cells,other
9623.0,6758.0,epithelial cells,epithelial cells
